"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 95","16.12","16.28","17.04","15.83","443.45K","-0.80%"
"Oct 95","16.33","16.16","16.42","15.58","420.09K","1.30%"
"Nov 95","17.04","16.37","17.19","16.21","415.92K","4.35%"
"Dec 95","18.33","17.07","18.53","17.06","357.82K","7.57%"
"Jan 96","16.52","18.55","19.31","15.93","505.04K","-9.87%"
"Feb 96","17.76","16.60","18.45","16.43","410.02K","7.51%"
"Mar 96","19.41","17.90","20.30","17.20","481.39K","9.29%"
"Apr 96","19.02","19.40","23.30","18.08","475.88K","-2.01%"
"May 96","17.80","18.85","19.68","16.75","472.46K","-6.41%"
"Jun 96","18.91","17.76","19.24","17.48","411.05K","6.24%"
"Jul 96","18.90","18.93","20.55","18.67","439.95K","-0.05%"
"Aug 96","20.78","19.00","21.00","18.79","417.85K","9.95%"
"Sep 96","23.21","21.48","24.39","21.45","429.22K","11.69%"
"Oct 96","22.67","22.90","25.06","22.62","430.43K","-2.33%"
"Nov 96","22.77","22.65","23.99","22.11","422.94K","0.44%"
"Dec 96","23.81","22.85","24.65","22.00","334.39K","4.57%"
"Jan 97","22.52","24.50","24.91","22.00","455.21K","-5.42%"
"Feb 97","18.85","22.45","22.77","18.80","412.70K","-16.30%"
"Mar 97","19.38","18.95","20.84","18.68","468.89K","2.81%"
"Apr 97","18.52","19.06","19.27","17.54","470.11K","-4.44%"
"May 97","19.40","18.42","20.60","17.87","386.67K","4.75%"
"Jun 97","18.51","19.31","19.62","17.32","444.80K","-4.59%"
"Jul 97","18.94","18.54","19.09","17.80","491.93K","2.32%"
"Aug 97","18.51","18.76","19.64","18.10","410.17K","-2.27%"
"Sep 97","19.90","18.50","20.13","18.15","466.08K","7.51%"
"Oct 97","20.02","19.82","21.75","19.30","544.47K","0.60%"
"Nov 97","18.94","20.45","20.45","18.36","423.66K","-5.39%"
"Dec 97","16.52","18.44","18.48","16.50","371.75K","-12.78%"
"Jan 98","15.96","16.80","16.80","14.70","533.90K","-3.39%"
"Feb 98","14.17","15.95","15.95","13.73","490.41K","-11.22%"
"Mar 98","14.26","14.30","15.82","11.90","663.87K","0.64%"
"Apr 98","14.46","14.20","14.95","13.32","540.96K","1.40%"
"May 98","14.37","14.56","15.29","13.65","517.40K","-0.62%"
"Jun 98","13.38","14.21","14.76","12.15","633.20K","-6.89%"
"Jul 98","13.09","13.42","13.70","12.25","500.95K","-2.17%"
"Aug 98","12.56","13.06","13.06","11.55","484.55K","-4.05%"
"Sep 98","14.68","12.30","14.90","12.19","592.20K","16.88%"
"Oct 98","13.22","14.68","14.90","12.22","615.61K","-9.95%"
"Nov 98","10.46","13.32","13.44","10.08","580.95K","-20.88%"
"Dec 98","10.53","10.44","11.30","9.55","502.08K","0.67%"
"Jan 99","11.35","10.93","12.33","10.42","522.16K","7.79%"
"Feb 99","10.88","11.41","11.45","9.90","469.35K","-4.14%"
"Mar 99","15.24","10.93","15.28","10.63","679.41K","40.07%"
"Apr 99","16.57","14.70","16.68","14.00","554.69K","8.73%"
"May 99","15.20","16.70","17.09","14.91","594.22K","-8.27%"
"Jun 99","17.51","14.95","17.52","14.53","566.49K","15.20%"
"Jul 99","19.37","17.55","19.95","17.42","573.63K","10.62%"
"Aug 99","21.33","19.28","21.42","19.20","561.77K","10.12%"
"Sep 99","23.58","21.20","24.30","20.74","575.78K","10.55%"
"Oct 99","21.69","23.72","23.85","20.20","668.64K","-8.02%"
"Nov 99","23.64","21.85","25.90","21.74","608.48K","8.99%"
"Dec 99","25.08","24.25","26.15","23.20","488.57K","6.09%"
